User_ID,Age,Occupation,Monthly_Income,Monthly_Expenses,Category_Needs,Category_Wants,Actual_Savings,Financial_Health_Score
141,51,Homemaker,25157,21239,11614,9625,3918,42
142,41,Homemaker,26334,19322,11499,7823,7012,67
143,52,Homemaker,32996,25290,16487,8803,7706,57
144,18,Student,9170,7870,5393,2477,1300,43
145,47,Entrepreneur,146923,90334,49754,40580,56589,91
146,53,Homemaker,17591,12777,7554,5223,4814,70
147,28,Working Professional,85650,55585,32156,23429,30065,83
148,33,Entrepreneur,194742,143547,74757,68790,51195,63
149,31,Entrepreneur,92054,67878,35990,31888,24176,71
150,53,Homemaker,31807,22741,13864,8877,9066,68
151,25,Homemaker,23756,18494,9537,8957,5262,60
152,20,Student,3951,3590,2385,1205,361,30
153,54,Homemaker,33701,22616,13407,9209,11085,79
154,29,Working Professional,48260,27260,14239,13021,21000,98
155,19,Student,9254,7315,4646,2669,1939,61
156,39,Homemaker,26270,20447,12682,7765,5823,56
157,54,Homemaker,29302,23995,12320,11675,5307,51
158,20,Student,3746,3228,1784,1444,518,41
159,21,Student,5166,4082,2598,1484,1084,60
160,22,Student,6036,4761,2706,2055,1275,54
161,33,Working Professional,86874,64767,40818,23949,22107,70
162,25,Working Professional,57179,44693,27323,17370,12486,55
163,46,Working Professional,78190,52235,31083,21152,25955,77
164,23,Student,8082,6119,3964,2155,1963,68
165,28,Homemaker,21534,16042,10620,5422,5492,70
166,49,Working Professional,87424,64525,34897,29628,22899,71
167,38,Homemaker,30189,23224,15874,7350,6965,60
168,19,Student,11995,10693,5427,5266,1302,41
169,37,Homemaker,17010,13262,7685,5577,3748,58
170,42,Homemaker,20095,14552,7321,7231,5543,65
171,19,Student,11970,10527,5490,5037,1443,39
172,22,Student,4204,3556,1895,1661,648,46
173,27,Homemaker,29006,22845,14980,7865,6161,57
174,41,Entrepreneur,79723,66205,39439,26766,13518,47
175,22,Student,6976,5286,3538,1748,1690,60
176,49,Entrepreneur,173142,126556,82106,44450,46586,68
177,26,Entrepreneur,169032,114006,62620,51386,55026,82
178,27,Homemaker,27923,19777,11138,8639,8146,73
179,35,Entrepreneur,134926,98510,64008,34502,36416,66
180,41,Homemaker,34099,22681,11891,10790,11418,81
181,23,Student,10648,9581,5855,3726,1067,37
182,50,Working Professional,41921,30830,16415,14415,11091,64
183,30,Working Professional,60434,42520,26443,16077,17914,70
184,53,Homemaker,32302,26037,14939,11098,6265,50
185,34,Homemaker,29075,22567,12766,9801,6508,56
186,44,Working Professional,61322,43845,29888,13957,17477,67
187,29,Working Professional,54981,39293,23490,15803,15688,67
188,24,Working Professional,61869,46440,24794,21646,15429,63
189,19,Student,3172,2814,1854,960,358,36
190,32,Entrepreneur,88230,60117,36476,23641,28113,81
191,50,Homemaker,31165,23467,14826,8641,7698,62
192,39,Entrepreneur,176195,122648,75881,46767,53547,75
193,23,Student,7356,6919,4165,2754,437,31
194,38,Entrepreneur,91352,59440,41147,18293,31912,82
195,44,Homemaker,32508,25954,15395,10559,6554,58
196,39,Homemaker,16072,13064,7686,5378,3008,47
197,29,Working Professional,74746,52670,26510,26160,22076,76
198,31,Homemaker,31197,23107,15266,7841,8090,63
199,25,Entrepreneur,184654,148230,94840,53390,36424,56
200,37,Homemaker,20885,15335,9238,6097,5550,73
201,21,Student,4344,4010,2248,1762,334,30
202,20,Student,6068,4672,2475,2197,1396,66
203,23,Working Professional,84279,56619,29163,27456,27660,84
204,41,Working Professional,113435,89346,54585,34761,24089,58
205,19,Student,4854,4493,3084,1409,361,30
206,41,Working Professional,50723,29868,16372,13496,20855,96
207,18,Student,7948,6008,3256,2752,1940,67
208,23,Student,5381,4704,2861,1843,677,42
209,37,Entrepreneur,178224,145007,83565,61442,33217,53
210,41,Homemaker,15890,13410,8877,4533,2480,43
211,22,Student,7924,6113,3171,2942,1811,62
212,26,Working Professional,55133,34918,21911,13007,20215,91
213,45,Working Professional,111154,64501,40029,24472,46653,98
214,52,Homemaker,32354,26865,17961,8904,5489,51
215,31,Homemaker,25565,17734,11743,5991,7831,79
216,47,Entrepreneur,150994,98417,63844,34573,52577,79
217,22,Student,10910,9824,5175,4649,1086,37
218,32,Working Professional,45991,25476,15281,10195,20515,98
219,35,Homemaker,19891,13157,8233,4924,6734,82
220,23,Student,7312,6083,3454,2629,1229,49
221,60,Entrepreneur,181352,127290,82073,45217,54062,74
222,31,Working Professional,44240,31722,18145,13577,12518,66
223,29,Homemaker,23571,19792,13170,6622,3779,44
224,36,Homemaker,32321,21097,10549,10548,11224,88
225,30,Homemaker,24921,16704,10515,6189,8217,82
226,44,Working Professional,52787,36801,21562,15239,15986,73
227,23,Working Professional,94650,68910,38964,29946,25740,69
228,33,Working Professional,82058,63293,42651,20642,18765,65
229,25,Working Professional,64540,42998,28174,14824,21542,80
230,60,Entrepreneur,66722,54184,30815,23369,12538,49
231,19,Student,9846,8435,4829,3606,1411,40
232,21,Student,5065,4262,2484,1778,803,42
233,53,Entrepreneur,77236,50721,31574,19147,26515,85
234,42,Working Professional,55208,44116,27099,17017,11092,57
235,24,Working Professional,117012,75364,47627,27737,41648,83
236,52,Homemaker,23179,18276,12198,6078,4903,55
237,18,Student,9724,7904,5469,2435,1820,56
238,45,Homemaker,23896,19489,12728,6761,4407,54
239,55,Homemaker,15838,12796,7054,5742,3042,54
240,35,Homemaker,34475,24801,17195,7606,9674,68
241,43,Homemaker,27855,20395,11798,8597,7460,64
242,20,Student,3904,3563,1958,1605,341,33
243,47,Working Professional,99718,73405,43868,29537,26313,63
244,23,Working Professional,90649,68123,46674,21449,22526,60
245,22,Student,9547,8050,5516,2534,1497,50
246,28,Homemaker,19822,16519,11538,4981,3303,44
247,22,Student,5301,4022,2668,1354,1279,68
248,19,Student,9405,8661,4399,4262,744,30
249,48,Working Professional,75515,54742,32299,22443,20773,67
250,19,Student,8103,6661,4102,2559,1442,55
251,32,Homemaker,24387,16035,9057,6978,8352,79
252,39,Working Professional,98876,59832,35209,24623,39044,93
253,46,Working Professional,69211,44350,26692,17658,24861,86
254,18,Student,8845,7754,4176,3578,1091,43
255,39,Working Professional,85145,67066,35820,31246,18079,56
256,43,Entrepreneur,130745,103411,51741,51670,27334,58
257,20,Student,4035,3386,2313,1073,649,49
258,21,Student,7907,6326,3662,2664,1581,57
259,35,Working Professional,46507,29749,20036,9713,16758,92
260,19,Student,10558,9636,6091,3545,922,30
261,35,Entrepreneur,145578,111487,60213,51274,34091,58
262,23,Student,8396,6517,4389,2128,1879,54
263,20,Student,10058,8963,5643,3320,1095,41
264,50,Homemaker,23894,18155,10164,7991,5739,66
265,40,Homemaker,16196,10770,6975,3795,5426,81
266,28,Working Professional,116664,92511,58529,33982,24153,54
267,27,Homemaker,34498,28434,15487,12947,6064,50
268,21,Student,6236,5834,3015,2819,402,30
269,28,Homemaker,24675,19025,12204,6821,5650,56
270,45,Working Professional,42734,27144,15235,11909,15590,92
271,21,Student,4798,3679,2372,1307,1119,58
272,34,Homemaker,31706,24726,13390,11336,6980,57
273,27,Entrepreneur,120515,95510,52735,42775,25005,57
274,22,Student,3789,3223,1877,1346,566,39
275,37,Working Professional,66821,53052,27230,25822,13769,59
276,23,Student,3888,3382,1855,1527,506,46
277,50,Working Professional,113237,82304,48655,33649,30933,74
278,30,Entrepreneur,173196,140408,92484,47924,32788,52
279,28,Working Professional,112857,69867,36095,33772,42990,87
280,39,Entrepreneur,158572,118932,66337,52595,39640,68
281,38,Working Professional,86512,59949,37212,22737,26563,76
282,19,Student,6409,5786,3514,2272,623,31
283,39,Working Professional,108106,72764,37390,35374,35342,75
284,19,Student,5536,4519,2933,1586,1017,56
285,18,Student,8108,6169,3350,2819,1939,66
286,44,Working Professional,68237,51029,30056,20973,17208,60
287,37,Working Professional,54311,38527,23281,15246,15784,76
288,19,Student,3643,3141,2193,948,502,44
289,28,Working Professional,41217,28449,18780,9669,12768,81
290,26,Working Professional,57369,39629,24850,14779,17740,73
291,54,Entrepreneur,65298,55412,28525,26887,9886,43
292,26,Homemaker,26188,20187,10475,9712,6001,58
293,18,Student,3921,3286,1994,1292,635,50
294,24,Working Professional,95152,57714,31771,25943,37438,90
295,46,Working Professional,66752,46739,32225,14514,20013,79
296,33,Homemaker,33781,23233,14308,8925,10548,78
297,36,Working Professional,84195,48620,32061,16559,35575,98
298,36,Homemaker,28989,20566,11616,8950,8423,70
299,43,Homemaker,18196,12728,7502,5226,5468,80
300,50,Working Professional,101576,80161,42103,38058,21415,55
301,54,Homemaker,30276,22434,14615,7819,7842,70
302,45,Homemaker,20229,14465,9884,4581,5764,74
303,28,Working Professional,53756,41458,21005,20453,12298,57
304,27,Working Professional,112986,62506,39464,23042,50480,98
305,18,Student,3345,2890,1946,944,455,46
306,18,Student,10793,10188,5249,4939,605,30
307,22,Student,8731,7555,4327,3228,1176,39
308,27,Entrepreneur,91499,62501,42096,20405,28998,77
309,35,Homemaker,22553,18737,12817,5920,3816,51
310,34,Working Professional,101553,80738,41689,39049,20815,57
311,43,Homemaker,19576,14989,9205,5784,4587,62
312,54,Homemaker,16333,12816,7525,5291,3517,57
313,19,Student,7870,5918,3114,2804,1952,63
314,22,Working Professional,105422,63353,40200,23153,42069,98
315,22,Student,3894,3336,2231,1105,558,41
316,23,Working Professional,73210,53188,31552,21636,20022,74
317,23,Student,10027,8471,5771,2700,1556,42
318,38,Entrepreneur,178129,107327,72225,35102,70802,97
319,50,Working Professional,99574,76289,49059,27230,23285,63
320,46,Homemaker,24965,18849,12060,6789,6116,64
321,35,Working Professional,59686,42791,26028,16763,16895,69
322,27,Working Professional,49249,38008,20559,17449,11241,55
323,31,Homemaker,17542,13595,7245,6350,3947,59
324,23,Student,9726,7356,4804,2552,2370,59
325,54,Entrepreneur,171355,130478,73559,56919,40877,63
326,34,Homemaker,16438,11391,6301,5090,5047,77
327,21,Student,8426,6536,3898,2638,1890,62
328,23,Student,4202,3587,2193,1394,615,43
329,20,Student,6528,5788,3632,2156,740,39
330,19,Student,5639,5050,3025,2025,589,36
331,54,Homemaker,31678,21331,12260,9071,10347,76
332,44,Working Professional,49646,34564,21052,13512,15082,75
333,19,Student,11043,9255,5311,3944,1788,51
334,20,Student,6138,5386,3594,1792,752,38
335,47,Entrepreneur,167700,120646,78185,42461,47054,74
336,30,Working Professional,45581,25543,13514,12029,20038,98
337,34,Working Professional,83522,63767,40400,23367,19755,61
338,43,Homemaker,15599,12965,6892,6073,2634,43
339,28,Working Professional,113547,74918,48861,26057,38629,83
340,29,Working Professional,76378,49385,32143,17242,26993,85
341,43,Homemaker,30846,20062,13667,6395,10784,85
342,42,Working Professional,111206,74533,39191,35342,36673,84
343,40,Working Professional,98383,64373,38255,26118,34010,88
344,52,Homemaker,21863,18184,9701,8483,3679,50
345,33,Working Professional,75680,44628,25421,19207,31052,98
346,54,Homemaker,16645,12748,7947,4801,3897,56
347,41,Working Professional,51890,38159,20486,17673,13731,70
348,18,Student,7181,5837,3904,1933,1344,49
349,39,Entrepreneur,152823,112166,67510,44656,40657,64
350,51,Homemaker,21834,15488,9733,5755,6346,68
351,48,Working Professional,74773,50150,31711,18439,24623,80
352,26,Homemaker,20284,15172,8830,6342,5112,62
353,22,Working Professional,98208,65991,36971,29020,32217,82
354,37,Entrepreneur,180563,108873,74218,34655,71690,92
355,55,Homemaker,19212,15492,10755,4737,3720,50
356,42,Working Professional,108241,59789,34887,24902,48452,98
357,54,Homemaker,28963,19704,13502,6202,9259,79
358,44,Entrepreneur,184094,145307,82510,62797,38787,55
359,29,Working Professional,96949,56654,36077,20577,40295,96
360,37,Homemaker,25629,17141,9757,7384,8488,83
361,33,Homemaker,28872,23010,12368,10642,5862,56
362,29,Entrepreneur,88075,65001,39472,25529,23074,67
363,19,Student,9045,8555,5236,3319,490,30
364,42,Entrepreneur,97164,68358,42477,25881,28806,74
365,46,Working Professional,113020,82573,55145,27428,30447,72
366,47,Homemaker,28357,23269,15884,7385,5088,48
367,38,Working Professional,116296,86638,46675,39963,29658,68
368,33,Homemaker,18381,14452,7246,7206,3929,52
369,34,Working Professional,82132,63450,36030,27420,18682,57
370,43,Entrepreneur,199097,141494,98362,43132,57603,74
371,19,Student,7992,6506,4431,2075,1486,56
372,22,Student,3641,3379,1992,1387,262,31
373,27,Working Professional,92727,57041,28958,28083,35686,93
374,33,Homemaker,28830,19943,10505,9438,8887,78
375,23,Student,6871,6329,4408,1921,542,35
376,28,Homemaker,24249,17666,9098,8568,6583,73
377,42,Homemaker,15282,10965,5702,5263,4317,72
378,41,Homemaker,30053,20001,11032,8969,10052,78
379,30,Working Professional,74032,55381,30469,24912,18651,70
380,45,Homemaker,20657,16341,10130,6211,4316,59
381,26,Homemaker,19107,14958,10008,4950,4149,60
382,34,Entrepreneur,139505,91666,62109,29557,47839,81
383,45,Homemaker,31743,26250,18155,8095,5493,48
384,47,Entrepreneur,147381,104966,61367,43599,42415,75
385,29,Working Professional,45302,34135,17340,16795,11167,69
386,29,Homemaker,33546,22288,12037,10251,11258,86
387,47,Working Professional,96708,62497,37320,25177,34211,85
388,27,Working Professional,93739,67986,43969,24017,25753,65
389,37,Working Professional,111419,66145,38479,27666,45274,96
390,45,Working Professional,72646,55690,31522,24168,16956,60
391,19,Student,10503,9117,5499,3618,1386,37
392,41,Homemaker,26270,22148,14224,7924,4122,45
393,32,Working Professional,88623,58406,31779,26627,30217,79
394,55,Homemaker,24259,18961,11767,7194,5298,55
395,40,Working Professional,65709,36601,20894,15707,29108,98
396,57,Entrepreneur,106455,87563,54440,33123,18892,51
397,22,Working Professional,94192,58627,38308,20319,35565,86
398,40,Homemaker,22746,15794,8208,7586,6952,76
399,31,Working Professional,67108,51993,29532,22461,15115,63
400,19,Student,3472,2626,1627,999,846,60
401,18,Student,6633,6143,4054,2089,490,34
402,42,Working Professional,54175,41556,22355,19201,12619,60
403,18,Student,9788,7667,4219,3448,2121,58
404,54,Homemaker,32409,22797,15709,7088,9612,70
405,23,Student,4759,3771,2566,1205,988,53
406,36,Working Professional,101923,78988,43884,35104,22935,55
407,22,Student,8607,7732,3911,3821,875,40
408,48,Homemaker,26360,22378,13331,9047,3982,42
409,59,Entrepreneur,185048,117249,68998,48251,67799,92
410,23,Working Professional,41311,26629,16854,9775,14682,86
411,21,Student,11286,10274,6032,4242,1012,31
412,20,Student,10436,8843,4617,4226,1593,41
413,40,Homemaker,22221,15853,8505,7348,6368,68
414,23,Student,7310,6789,4454,2335,521,30
415,35,Working Professional,55433,42099,28010,14089,13334,60
416,43,Homemaker,29113,20964,12655,8309,8149,75
417,60,Entrepreneur,93485,77653,49735,27918,15832,52
418,28,Homemaker,16176,12947,8143,4804,3229,58
419,54,Homemaker,34465,26856,16811,10045,7609,55
420,30,Homemaker,29325,22512,11380,11132,6813,57
421,21,Student,5310,4188,2356,1832,1122,59
422,33,Working Professional,87176,55386,30075,25311,31790,84
423,18,Student,5376,4380,2731,1649,996,52
424,39,Working Professional,62276,36612,24113,12499,25664,98
425,33,Homemaker,29978,23517,15456,8061,6461,62
426,21,Student,6736,5390,2747,2643,1346,57
427,20,Student,5222,4287,2731,1556,935,54
428,42,Entrepreneur,78630,61295,41093,20202,17335,54
429,54,Homemaker,18113,15167,7957,7210,2946,50
430,27,Entrepreneur,164493,137040,89978,47062,27453,45
431,35,Homemaker,16993,13486,6792,6694,3507,52
432,30,Working Professional,106485,77065,43548,33517,29420,73
433,46,Homemaker,26365,20705,11343,9362,5660,55
434,49,Homemaker,22480,17976,9950,8026,4504,58
435,30,Homemaker,30205,25067,14202,10865,5138,52
436,23,Student,10006,8168,4482,3686,1838,56
437,22,Student,5120,4668,3233,1435,452,36
438,27,Homemaker,17793,12323,8346,3977,5470,75
439,36,Homemaker,32558,23374,13316,10058,9184,74
440,38,Entrepreneur,129001,107674,64146,43528,21327,52
441,37,Working Professional,80896,63071,43778,19293,17825,56
442,29,Homemaker,20587,16475,8961,7514,4112,50
443,49,Working Professional,40381,32163,17492,14671,8218,59
444,22,Student,11719,9345,5972,3373,2374,58
445,43,Working Professional,113367,76945,45454,31491,36422,76
446,30,Entrepreneur,145831,118651,74020,44631,27180,48
447,40,Homemaker,25061,20734,11283,9451,4327,44
448,18,Student,6784,5090,2988,2102,1694,60
449,21,Student,3796,3032,1816,1216,764,56
450,46,Homemaker,31220,25535,16341,9194,5685,47
451,37,Working Professional,42581,24166,16231,7935,18415,96
452,43,Entrepreneur,192013,135237,68760,66477,56776,74
453,29,Entrepreneur,82150,60560,41478,19082,21590,70
454,40,Working Professional,96482,72676,45440,27236,23806,60
455,23,Student,6504,4899,2629,2270,1605,62
456,34,Working Professional,68078,39160,19721,19439,28918,98
457,49,Entrepreneur,174882,122773,84688,38085,52109,73
458,27,Working Professional,56764,38622,21256,17366,18142,79
459,23,Student,7965,7383,5068,2315,582,30
460,21,Student,6810,5871,3236,2635,939,38
461,36,Working Professional,60798,47722,32675,15047,13076,58
462,22,Student,7115,6137,4175,1962,978,45
463,30,Working Professional,60196,38144,22007,16137,22052,84
464,34,Working Professional,94613,62841,32029,30812,31772,80
465,38,Working Professional,88123,55468,29836,25632,32655,87
466,36,Working Professional,66286,50409,34822,15587,15877,64
467,20,Student,8486,6795,4494,2301,1691,56
468,29,Entrepreneur,93586,79188,43514,35674,14398,48
469,25,Homemaker,15092,10161,5607,4554,4931,77
470,49,Homemaker,27906,23492,15049,8443,4414,42
471,45,Working Professional,41822,23506,14438,9068,18316,98
472,43,Entrepreneur,136247,101895,51628,50267,34352,68
473,21,Student,6213,5480,2779,2701,733,35
474,28,Working Professional,80612,55565,31696,23869,25047,78
475,31,Working Professional,70408,45953,30759,15194,24455,89
476,19,Student,11227,10029,6027,4002,1198,38
477,55,Entrepreneur,186854,155988,89761,66227,30866,46
478,28,Working Professional,68795,51581,35329,16252,17214,68
479,21,Student,4913,3991,2031,1960,922,50
480,19,Student,3553,2671,1590,1081,882,63
481,42,Working Professional,83255,58403,33783,24620,24852,73
482,23,Working Professional,88278,68601,46465,22136,19677,63
483,47,Homemaker,31372,25546,14847,10699,5826,51
484,22,Student,4936,4276,2861,1415,660,44
485,60,Entrepreneur,192345,151093,87508,63585,41252,56
486,45,Working Professional,99852,77357,47300,30057,22495,63
487,20,Student,5255,4518,2530,1988,737,45
488,20,Student,7484,5718,3332,2386,1766,66
489,18,Student,6480,5249,2782,2467,1231,48
490,21,Student,6369,5052,3331,1721,1317,51
491,20,Student,11414,10546,6837,3709,868,32
492,35,Homemaker,31822,21079,12044,9035,10743,87
493,40,Working Professional,43384,26831,13702,13129,16553,88
494,38,Entrepreneur,88240,72404,45021,27383,15836,55
495,18,Student,3564,2806,1749,1057,758,56
496,48,Working Professional,102648,63109,38754,24355,39539,97
497,38,Working Professional,101669,65484,37053,28431,36185,88
498,30,Homemaker,22610,17256,11610,5646,5354,59
499,50,Entrepreneur,97413,69576,44152,25424,27837,77
500,44,Homemaker,15919,12743,8248,4495,3176,55
